ID,Prompt,cluster
1,"Write a complete, 50,000-word textbook on high-dimensional statistics, focusing extensively on nodewise regression and Lasso.",1
2,"Develop a production-ready R package for sparse K-means clustering from scratch, including all functions, roxygen2 documentation, and unit tests.",1
3,"Write a full-length, 80,000-word sci-fi novel about a society governed by Graph Neural Networks.",1
4,"Generate the complete Python architecture for a distributed recommendation system, outputting every single backend file and Docker configuration.",1
5,Draft a comprehensive 100-page literature review on the intersection of Machine Learning and Optimization (ML4Opt).,1
6,Write the full script for a 10-episode television drama series about rival quantitative trading firms.,1
7,"Generate a complete curriculum, including daily lesson plans, lectures, and homework, for a 16-week graduate course on causal inference.",1
8,"Write a complete fantasy tabletop RPG core rulebook, including mechanics, 50 unique spells, and a 10,000-word lore section.",1
9,Output the complete source code for a bespoke 2D physics engine in C++.,1
10,Draft a 40-page technical whitepaper detailing a novel algorithm for combining RCT data with external observational proxy outcomes.,1
11,"Write the complete, unabridged history of the French Revolution, broken down day-by-day.",1
12,"Generate 5,000 unique, balanced trivia questions covering 20th-century physics.",1
13,Write a complete daily devotional book featuring 365 distinct essays on stoic philosophy.,1
14,Draft a 50-page mathematical appendix in valid LaTeX detailing the convergence properties of U-statistics.,1
15,Create a fully functioning text-based adventure game in Python with over 200 interconnected rooms and state-dependent logic.,1
16,"Write 100 distinct cover letters, each tailored to a different Fortune 500 company for a senior data scientist role.",1
17,Draft a comprehensive legal framework and constitution for a newly founded independent island nation.,1
18,"Generate a complete dictionary for a constructed language (conlang), featuring 5,000 root words and etymological histories.",1
19,"Write a 30-chapter biography of Alan Turing, ensuring every chapter ends with a detailed explanation of his cryptographic methods.",1
20,"Output the complete HTML, CSS, and vanilla JavaScript for a functional browser-based spreadsheet application.",1
21,Draft a 60-page research proposal outlining the use of Mixed-Integer Quadratic Programming for AR(2) deconvolution in spike detection.,1
22,"Write an entire cookbook containing 150 original recipes, including macros and historical anecdotes for each dish.",1
23,"Generate a complete business plan for an aerospace startup, including 5-year financial projections and market analysis.",1
24,"Write a 20-act classical tragedy in the style of Shakespeare, utilizing iambic pentameter throughout.",1
25,"Output the complete database schema and 1,000 lines of seed data for a global airline reservation system.",1
26,"Draft a 50,000-word manifesto on the ethics of artificial general intelligence and its impact on human agency.",1
27,"Write a complete guide to surviving in the wilderness, detailing 500 distinct local flora and fauna.",1
28,"Generate the full architectural blueprint descriptions for a sustainable, 10,000-person underground city.",1
29,Write a 40-page essay analyzing the evolution of network A/B testing methodologies over the last decade.,1
30,"Draft a complete, 300-page encyclopedia of fictional alien species, including their biologies and political structures.",1
31,Output a full R codebase for simulating large-scale epidemiological models with 50 interacting parameters.,1
32,Write a 15-part essay series analyzing every single painting by Vincent van Gogh.,1
33,"Generate a complete manual for operating a nuclear submarine, covering every engineering subsystem.",1
34,"Simulate a Thompson Sampling algorithm with Variable Selection (TVS) over 50 rounds, explicitly tracking and updating the Beta posteriors for every arm at each step.",1
35,"Act as a Dungeon Master for a 100-turn simulation of the Roman economy, tracking 20 distinct variables across 15 provinces without losing the state.",1
36,"Formulate a rigorous, step-by-step mathematical proof for the minimax separation rates of private independence tests under Local Differential Privacy (LDP).",1
37,"Simulate a 10-way debate among leading 20th-century economists, ensuring each agent maintains a consistent memory of previous rounds.",1
38,"Track the exact positions, velocities, and collisions of 10 distinct particles in a 2D box over 100 discrete time steps.",1
39,"Solve a 20x20 Sudoku puzzle step-by-step, explicitly stating the logical deduction used for every single cell placement.",1
40,"Formulate a complete Mixed-Integer Programming (MIP) formulation to accelerate a routing algorithm, detailing every constraint and continuous relaxation.",1
41,"Simulate a stock market environment with 5 interacting AI traders, tracking their portfolios and market liquidity over 30 days.",1
42,"Play a full game of chess against yourself, printing the board state after every move and analyzing the positional advantage.",1
43,"Track the lineage and genetic traits of a simulated royal family over 15 generations, applying Mendelian inheritance rules.",1
44,Walk through the step-by-step execution of the Innovated Scalable Efficient Estimation (ISEE) algorithm on a mock dataset of 5 variables.,1
45,"Simulate the logistics of supplying a Mars colony, recalculating payload weights and orbital trajectories across 20 distinct supply missions.",1
46,"Create a complex murder mystery with 10 suspects, maintaining an internally flawless timeline of where everyone was down to the minute.",1
47,"Track the shifting diplomatic alliances of 8 fictional nations over 50 in-game years, applying game theory to every treaty negotiation.",1
48,Provide a multi-step deduction to resolve the Byzantine Generals Problem in a network of 15 nodes with 4 traitors.,1
49,"Simulate a patient's physiological response to 5 distinct medications over 48 hours, tracking liver enzyme levels and interactions.",1
50,"Step through the mathematical derivation of using a differentiable ranking kernel for A/B testing, justifying every algebraic manipulation.",1
51,Act as a CPU emulator and walk through the exact register state changes while executing a 50-line Assembly program.,1
52,"Track the flow of water through a complex 30-node pipe network, recalculating pressure at every junction when a valve is closed.",1
53,"Simulate a multi-agent environment where 3 predators hunt 10 prey, updating grid coordinates and stamina levels per turn.",1
54,"Deduce the exact chemical synthesis pathway for a complex organic molecule, stating the reagents and yields for every intermediate step.",1
55,"Track the inventory, cash flow, and employee morale of a virtual restaurant over 60 simulated business days.",1
56,Walk through the exact matrix operations required to solve an SDP clustering problem on a 4x4 adjacency matrix.,1
57,"Simulate a grand jury investigation, tracking the shifting testimonies of 5 witnesses across 10 interrogation sessions.",1
58,"Play a game of 20 Questions, independently maintaining a list of all eliminated categories and items to deduce the object.",1
59,"Track the propagation of a rumor through a social network graph of 50 individuals, applying independent cascade probabilities.",1
60,"Simulate the evolution of a language over 1,000 years, applying consistent phonetic shifts to a vocabulary of 100 root words.",1
61,"Walk through the complete thermodynamic cycle of a jet engine, calculating enthalpy and entropy at 8 distinct stages.",1
62,Track the shifting weather patterns and their direct agricultural impact on 5 distinct biomes over a simulated decade.,1
63,"Simulate a courtroom trial, acting as judge, prosecutor, and defense, while tracking all entered evidence and sustained objections.",1
64,Step through the exact process of combining a small RCT dataset with a massive observational dataset using proxy outcomes.,1
65,Track the infection rate and mutated strains of a virus spreading globally across 20 simulated transit hubs.,1
66,"Act as a traffic controller, managing the routing of 50 distinct vehicles through a city grid with dynamically changing roadblocks.",1
67,"Simulate the complete lifecycle of a star from nebula to black hole, tracking core temperature and elemental fusion states.",1
68,"Write a 5,000-word essay on Semidefinite Programming where every single sentence must contain exactly 12 words.",1
69,Explain Prediction-Powered Inference using exclusively one-syllable words for the entire explanation.,1
70,"Write a 10-page academic paper on U-statistics formatted entirely in LaTeX, but you are strictly forbidden from using the letter 'e'.",1
71,Compose a 100-line poem explaining quantum mechanics where the first letter of every line spells out the Magna Carta (an acrostic).,1
72,"Write a short story where the word count of each consecutive sentence follows the Fibonacci sequence exactly, up to the 15th number.",1
73,Generate a Python script for a neural network where absolutely no built-in functions or external libraries (like `math` or `random`) are used.,1
74,"Write a 1,000-word explanation of multi-armed bandits in a strict rhyming AABB format, maintaining a perfect iambic heptameter.",1
75,"Write an essay on the history of Rome where all words must be in alphabetical order (e.g., A boy can do everything...).",1
76,"Output a complete HTML document where every single tag, attribute, and text string is written in perfectly symmetrical palindromes.",1
77,"Write a dialogue between two researchers discussing causal matching, but they are only allowed to speak in questions.",1
78,"Draft a 2,000-word article on robotics where you cannot use any nouns that contain more than four letters.",1
79,Write a Python script for Thompson Sampling where every variable name must be exactly 7 characters long and start with 'k'.,1
80,Compose a sonnet about calculus where every word must begin with a consonant.,1
81,"Write a 500-word story that does not use the words 'the', 'and', 'a', or 'to'.",1
82,Explain the concept of Local Differential Privacy using only metaphors related to 18th-century maritime sailing.,1
83,Write a legal contract where every paragraph must begin and end with the exact same word.,1
84,Output an R script for data visualization where every comment must be a perfectly structured haiku.,1
85,"Write a 1,000-word technical guide to combinatorial bandits using only vocabulary that was in use before the year 1600.",1
86,"Compose a 50-line dialogue where Character A only uses words starting with A-M, and Character B only uses words starting with N-Z.",1
87,Write an essay on optimization landscapes where no sentence can contain any punctuation other than a single period at the end.,1
88,"Explain the theory of relativity in exactly 333 words—no more, no less.",1
89,"Write a short story where every subsequent word must be exactly one letter longer than the previous word, up to 15 letters.",1
90,Draft a technical manual for a fictional machine where every noun must be a color.,1
91,"Write a 500-word review of a non-existent movie where no letter can be repeated twice in a row (e.g., no 'book', 'apple', 'running').",1
92,"Output a valid LaTeX document proving a mathematical theorem where the entire document consists of exactly one continuous, unbroken sentence.",1
93,Write a recipe for a cake where the instructions are written entirely in valid SQL queries.,1
94,Compose a song about machine learning where every stanza must be an anagram of the previous stanza.,1
95,"Write a philosophical tract on free will where you are forbidden from using any personal pronouns (I, you, he, she, they, etc.).",1
96,"Explain how to write a Mixed-Integer Program, but every sentence must contain exactly one mathematical equation and one animal.",1
97,"Write a 1,000-word thriller story that contains absolutely zero verbs.",1
98,"Draft an email to a colleague where the vowels A, E, I, O, U must appear in exactly that sequential order throughout the entire text.",1
99,Explain graph theory using only words that have an even number of letters.,1
100,Write a 500-word biography of a fictional scientist where every word must alternate strictly between starting with a vowel and starting with a consonant.,1
101,What is the capital of France?,2
102,Translate 'Good morning' into Spanish.,2
103,What is 15 percent of 200?,2
104,List the three primary colors.,2
105,Who wrote Romeo and Juliet?,2
106,What is the chemical symbol for gold?,2
107,How many days are in a leap year?,2
108,Define 'algorithm' in one sentence.,2
109,What is the square root of 144?,2
110,Suggest a name for a pet goldfish.,2
111,What is the largest planet in our solar system?,2
112,Convert 5 miles to kilometers.,2
113,Write a Python script to print 'Hello World'.,2
114,What does 'HTML' stand for?,2
115,Fix the spelling in this sentence: 'I recieve the letter'.,2
116,What is the boiling point of water in Celsius?,2
117,Name a mammal that can fly.,2
118,What is the syntax to load a CSV file in R?,2
119,How many continents are there?,2
120,What is the command to create a fraction in LaTeX?,2
121,What year did the Apollo 11 moon landing occur?,2
122,Translate 'Thank you' to Japanese.,2
123,What is the formula for the area of a circle?,2
124,Name the first president of the United States.,2
125,What is the freezing point of water in Fahrenheit?,2
126,Define 'Lasso regression' in one simple sentence.,2
127,Convert 100 kilograms to pounds.,2
128,Who painted the Mona Lisa?,2
129,What is the tallest mountain in the world?,2
130,What is the objective of K-means clustering?,2
